brand_id,brand_name_raw,brand_name_std_variant
BRD_20210482,츄러스1500,츄러스1500
BRD_20260337,먹보땅콩빵,먹보땅콩빵
BRD_20212827,강릉수제어묵고로케,강릉수제어묵고로케
BRD_20201386,대신땅콩빵,대신땅콩빵
BRD_20160521,심봉사도로케,심봉사도로케
BRD_20120100621,더베이크,더베이크
BRD_20080500016,던킨/던킨도너츠,던킨던킨도너츠
BRD_20080500016,던킨/던킨도너츠,던킨
BRD_20080500016,던킨/던킨도너츠,던킨도너츠
BRD_20140778,크리스피크림,크리스피크림
BRD_20170811,또봉이핫독&도넛,또봉이핫독도넛
BRD_20260084,베이커리라운지24,베이커리라운지24
BRD_20212456,명륜당제과,명륜당제과
BRD_20260360,올베르,올베르
BRD_20251452,그레인솔트,그레인솔트
BRD_20260043,민규아빠네베이글,민규아빠네베이글
BRD_20260372,호호붕붕,호호붕붕
BRD_20260267,스테이브래드,스테이브래드
BRD_20231619,땅콩당 인생땅콩빵,땅콩당인생땅콩빵
BRD_20260378,빵굼터,빵굼터
BRD_20201235,더 베이커스 가든(The Baker&#39;s Garden),더베이커스가든
BRD_20201235,더 베이커스 가든(The Baker&#39;s Garden),thebaker39sgarden
BRD_20221183,바이웨이(BYWAY),바이웨이
BRD_20221183,바이웨이(BYWAY),byway
BRD_20221121,솔트앤스낵,솔트앤스낵
BRD_20250210,피틀리(fitly),fitly
BRD_20250210,피틀리(fitly),피틀리
BRD_20211367,삼송빵집,삼송빵집
BRD_20250428,케이크시즌,케이크시즌
BRD_20213108,바다익투스꽈배기&망고쥬스,바다익투스꽈배기망고쥬스
BRD_20211315,꿀복이 꽈배기,꿀복이꽈배기
BRD_20150594,마리웨일237,마리웨일237
BRD_20220823,천안당 호두과자,천안당호두과자
BRD_20240240,호두가 ,호두가
BRD_20221201,꼬알라파이,꼬알라파이
BRD_20110500023,천안옛날호두과자,천안옛날호두과자
BRD_20220418,머지커피,머지커피
