brand_a,brand_b,shared_top10_areas,jaccard_top10
디에그,빵굼터,10,1.0
롤링핀,보리원,10,1.0
롤링핀,호두당,9,0.8181818181818182
더베이크,핫브레드 ,9,0.8181818181818182
롤링핀,빵굼터,9,0.8181818181818182
보리원,호두당,9,0.8181818181818182
보리원,올드몬트베이글,9,0.8181818181818182
디에그,호두당,9,0.8181818181818182
빵굼터,호두당,9,0.8181818181818182
롤링핀,올드몬트베이글,9,0.8181818181818182
던킨/던킨도너츠,스트릿츄러스,9,0.8181818181818182
보리원,빵굼터,9,0.8181818181818182
디에그,롤링핀,9,0.8181818181818182
디에그,보리원,9,0.8181818181818182
못난이꽈배기,스트릿츄러스,8,0.6666666666666666
못난이꽈배기,심봉사도로케,8,0.6666666666666666
명랑시대쌀핫도그,호밀호두,8,0.6666666666666666
던킨/던킨도너츠,빵굼터,8,0.6666666666666666
던킨/던킨도너츠,보리원,8,0.6666666666666666
보리원,삼송빵집,8,0.6666666666666666
던킨/던킨도너츠,디에그,8,0.6666666666666666
보리원,스트릿츄러스,8,0.6666666666666666
던킨/던킨도너츠,소림사,8,0.6666666666666666
던킨/던킨도너츠,화이트리에,8,0.6666666666666666
던킨/던킨도너츠,올드몬트베이글,8,0.6666666666666666
던킨/던킨도너츠,호두당,8,0.6666666666666666
명랑시대쌀핫도그,호두당,8,0.6666666666666666
더베이크,크리스피크림,8,0.6666666666666666
디에그,삼송빵집,8,0.6666666666666666
디에그,스트릿츄러스,8,0.6666666666666666
롤링핀,호밀호두,8,0.6666666666666666
디에그,올드몬트베이글,8,0.6666666666666666
롤링핀,스트릿츄러스,8,0.6666666666666666
디에그,호밀호두,8,0.6666666666666666
롤링핀,삼송빵집,8,0.6666666666666666
뚜레쥬르,명랑시대쌀핫도그,8,0.6666666666666666
뚜레쥬르,호밀호두,8,0.6666666666666666
보리원,호밀호두,8,0.6666666666666666
던킨/던킨도너츠,롤링핀,8,0.6666666666666666
뚜레쥬르,호두당,8,0.6666666666666666
빵굼터,스트릿츄러스,8,0.6666666666666666
삼송빵집,호두당,8,0.6666666666666666
삼송빵집,올드몬트베이글,8,0.6666666666666666
소림사,화이트리에,8,0.6666666666666666
스트릿츄러스,핫브레드 ,8,0.6666666666666666
스트릿츄러스,호두당,8,0.6666666666666666
빵굼터,호밀호두,8,0.6666666666666666
소림사,올드몬트베이글,8,0.6666666666666666
올드몬트베이글,호두당,8,0.6666666666666666
빵굼터,올드몬트베이글,8,0.6666666666666666
빵굼터,삼송빵집,8,0.6666666666666666
올드몬트베이글,화이트리에,8,0.6666666666666666
크리스피크림,핫브레드 ,8,0.6666666666666666
호두당,호밀호두,8,0.6666666666666666
더베이크,빵장수단팥빵,8,0.6666666666666666
올드몬트베이글,호밀호두,7,0.5384615384615384
롤링핀,명랑시대쌀핫도그,7,0.5384615384615384
명랑시대쌀핫도그,보리원,7,0.5384615384615384
소림사,호두당,7,0.5384615384615384
명랑시대쌀핫도그,못난이꽈배기,7,0.5384615384615384
호두당,화이트리에,7,0.5384615384615384
뚜레쥬르,화이트리에,7,0.5384615384615384
스트릿츄러스,크리스피크림,7,0.5384615384615384
롤링핀,화이트리에,7,0.5384615384615384
스트릿츄러스,올드몬트베이글,7,0.5384615384615384
롤링핀,소림사,7,0.5384615384615384
스트릿츄러스,호밀호두,7,0.5384615384615384
스트릿츄러스,화이트리에,7,0.5384615384615384
심봉사도로케,호두당,7,0.5384615384615384
명랑시대쌀핫도그,빵굼터,7,0.5384615384615384
보리원,화이트리에,7,0.5384615384615384
명랑시대쌀핫도그,삼송빵집,7,0.5384615384615384
빵굼터,심봉사도로케,7,0.5384615384615384
복호두,화이트리에,7,0.5384615384615384
브레댄코(bread&co.DAILY-NEW),빵장수단팥빵,7,0.5384615384615384
브레댄코(bread&co.DAILY-NEW),소림사,7,0.5384615384615384
브레댄코(bread&co.DAILY-NEW),올드몬트베이글,7,0.5384615384615384
보리원,소림사,7,0.5384615384615384
뚜레쥬르,올드몬트베이글,7,0.5384615384615384
빵굼터,소림사,7,0.5384615384615384
못난이꽈배기,호두당,7,0.5384615384615384
못난이꽈배기,핫브레드 ,7,0.5384615384615384
빵굼터,화이트리에,7,0.5384615384615384
명랑시대쌀핫도그,스트릿츄러스,7,0.5384615384615384
빵장수단팥빵,스트릿츄러스,7,0.5384615384615384
못난이꽈배기,삼송빵집,7,0.5384615384615384
빵장수단팥빵,핫브레드 ,7,0.5384615384615384
못난이꽈배기,빵장수단팥빵,7,0.5384615384615384
못난이꽈배기,빵굼터,7,0.5384615384615384
명랑시대쌀핫도그,화이트리에,7,0.5384615384615384
삼송빵집,심봉사도로케,7,0.5384615384615384
복호두,크리스피크림,7,0.5384615384615384
소림사,스트릿츄러스,7,0.5384615384615384
명랑시대쌀핫도그,심봉사도로케,7,0.5384615384615384
호밀호두,화이트리에,7,0.5384615384615384
던킨/던킨도너츠,핫브레드 ,7,0.5384615384615384
더베이크,스트릿츄러스,7,0.5384615384615384
디에그,화이트리에,7,0.5384615384615384
뚜레쥬르,롤링핀,7,0.5384615384615384
디에그,뚜레쥬르,7,0.5384615384615384
디에그,명랑시대쌀핫도그,7,0.5384615384615384
던킨/던킨도너츠,호밀호두,7,0.5384615384615384
던킨/던킨도너츠,명랑시대쌀핫도그,7,0.5384615384615384
뚜레쥬르,보리원,7,0.5384615384615384
