brand_id,brand_name,source_count,reachable_count,roles
BRD_20220253,곤트란쉐리에(Gontran Cherrier),2,0,brand | menu
BRD_20120100621,더베이크,2,0,brand | menu
BRD_20080500016,던킨/던킨도너츠,2,2,brand | menu
BRD_20250749,디에그,1,1,social
BRD_20080100039,뚜레쥬르,2,2,brand | menu
BRD_20140306,롤링핀,0,0,
BRD_20161137,명랑시대쌀핫도그,2,2,brand | menu
BRD_20150085,못난이꽈배기,2,2,brand | menu
BRD_20240814,보리원,0,0,
BRD_20212010,복호두,2,2,brand | menu
BRD_20080200287,브레댄코(bread&co.DAILY-NEW),2,2,brand | menu
BRD_20260378,빵굼터,0,0,
BRD_20150052,빵장수단팥빵,0,0,
BRD_20211367,삼송빵집,2,2,brand | menu
BRD_20230468,소림사,0,0,
BRD_20140288,스트릿츄러스,2,0,brand | menu
BRD_20160521,심봉사도로케,0,0,
BRD_20240723,올드몬트베이글,2,2,brand | menu
BRD_20140778,크리스피크림,2,2,brand | menu
BRD_20080200064,파리바게뜨,0,0,
BRD_20170827,핫브레드 ,0,0,
BRD_20201275,호두당,0,0,
BRD_20080100675,호밀호두,0,0,
BRD_20240478,화이트리에,0,0,
